SHID,Address,City,State,County,ZIPCode
4,4300 Wilgrove-Mint Hill Road,Mint Hill,North Carolina,Mecklenburg,28227
6,6233 Albemarle Road.,Charlotte,North Carolina,Mecklenburg,28212
9,1120 W. Sugar Creek Road,Charlotte,North Carolina,Mecklenburg,28213
11,9701 Sam Furr Road,Huntersville,North Carolina,Mecklenburg,28078
12,10700 Reames Road,Charlotte,North Carolina,Mecklenburg,28269
14,9608 University City Blvd.,Charlotte,North Carolina,Mecklenburg,28213
15,9025 Mallard Creek Road,Charlotte,North Carolina,Mecklenburg,28262
20,7740 Bruton Smith Blvd.,Concord,North Carolina,Cabarrus,28027
21,9759 Charlotte Highway,Indian Land,South Carolina,Lancaster,29707
23,668 West John Street ,Matthews,North Carolina,Mecklenburg,28105
25,6201 N. Tryon Street,Charlotte,North Carolina,Mecklenburg,28213
29,3024 Central Avenue,Charlotte,North Carolina,Mecklenburg,28205
35,8925 Nations Ford Road,Charlotte,North Carolina,Mecklenburg,28217
38,6886 Poplar Tent Road,Concord,North Carolina,Cabarrus,28027
39,6401 Old Statesville Rd.,Charlotte,North Carolina,Mecklenburg,28269
40,4808 Brookshire Blvd,Charlotte,North Carolina,Mecklenburg,28216
41,2901 Yorkmont Road,Charlotte,North Carolina,Mecklenburg,28208
42,2825 Little Rock Road,Charlotte,North Carolina,Mecklenburg,28214
43,3800 Central Avenue,Charlotte,North Carolina,Mecklenburg,28205
46,105 South Polk Street,Pineville,North Carolina,Mecklenburg,28134
48,2840 Eastway Drive,Charlotte,North Carolina,Mecklenburg,28205
49,5235 South Boulevard,Charlotte,North Carolina,Mecklenburg,28217
52,5343 Monroe Road ,Charlotte,North Carolina,Mecklenburg,28205
53,5115 Old Dowd Road,Charlotte,North Carolina,Mecklenburg,28208
54,2415 Little Rock Rd.,Charlotte,North Carolina,Mecklenburg,28214
55,5455 Brookshire Boulevard ,Charlotte,North Carolina,Mecklenburg,28216
56,2932 Mt. Holly-Huntersville Rd,Charlotte,North Carolina,Mecklenburg,28214
60,527 Providence Road ,Charlotte,North Carolina,Mecklenburg,28207
63,1920 Central Avenue,Charlotte,North Carolina,Mecklenburg,28205
67,4847 Charlotte Hwy,Lake Wylie,South Carolina,York,29710
69,2701 The Plaza,Charlotte,North Carolina,Mecklenburg,28205
77,3305 Scott Futrell Drive,Charlotte,North Carolina,Mecklenburg,28208
79,10222 Johnston Road,Pineville,North Carolina,Mecklenburg,28210
80,8325 Old Statesville Road,Charlotte,North Carolina,Mecklenburg,28269
81,10130 Charlotte Highway,Indian Land,South Carolina,Lancaster,29707
87,923 S. Kings Drive,Charlotte,North Carolina,Mecklenburg,28204
92,5701 NC Hwy 74 W,Indian Trail,North Carolina,Union,28079
95,4025 Highway 49 South,Harrisburg,North Carolina,Cabarrus,28075
98,3650 N. Highway 16 Business ,Denver,North Carolina,Lincoln,28037
99,100 E. Woodlawn Road,Charlotte,North Carolina,Mecklenburg,28217
100,4646 South Boulevard,Charlotte,North Carolina,Mecklenburg,28209
101,7340 Poplar Tent Rd.,Concord,North Carolina,Cabarrus,28027
102,1021 Aspinal Street ,Waxhaw,North Carolina,Union,
105,9308 Steele Creek Road,Charlotte,North Carolina,Mecklenburg,28273
106,4235 Providence Road,Charlotte,North Carolina,Mecklenburg,28211
107,2312 Westchester Dr.,High Point,North Carolina,Guilford,27262
108,10343 Cane Creek Drive,Huntersville,North Carolina,Mecklenburg,28078
109,391 W. Plaza Drive,Mooresville,North Carolina,Iredell,28117
110,8016 N. Tryon Street,Charlotte,North Carolina,Mecklenburg,28262
111,1614 Spring Garden Street,Greensboro,North Carolina,Guilford,27403
201,5200 Piper Station Drive,Charlotte,North Carolina,Mecklenburg,28277
202,10806 Providence Rd.,Charlotte,North Carolina,Mecklenburg,28277
203,7511 Pineville-Matthews Rd.,Charlotte,North Carolina,Mecklenburg,26226
204,8924 Pineville-Matthews Rd.,Charlotte,North Carolina,Mecklenburg,28226
205,240 Carowinds Blvd.,Fort Mill,South Carolina,York,29708
206,12710 South Tryon St.,Charlotte,North Carolina,Mecklenburg,28273
207,8010 South Tryon St,Charlotte,North Carolina,Mecklenburg,28273
208,8315 Steele Creek Rd.,Charlotte,North Carolina,Mecklenburg,28217
209,4401 Park Rd.,Charlotte,North Carolina,Mecklenburg,28209
210,5701 Old Providence Rd.,Charlotte,North Carolina,Mecklenburg,28078
211,4300 North Graham St.,Charlotte,North Carolina,Mecklenburg,28206
212,10023 North Tryon St.,Charlotte,North Carolina,Mecklenburg,28262
213,1901 Pavilion Blvd.,Charlotte,North Carolina,Mecklenburg,28262
214,3301 Monroe Road,Charlotte,North Carolina,Mecklenburg,28205
